2021-10-02 04:21:32 UTC Syncing #13337692 0x41c5…72aa     0.03 blk/s    4.3 tx/s    0.4 Mgas/s      0+    9 Qed Ancient:#11318617 LI:#13337700   11/25 peers     18 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:21:32 UTC Syncing #13337691 0xf064…e84c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11317960 LI:#13337700   11/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:21:33 UTC Syncing #13337692 0x41c5…72aa     0.03 blk/s    4.1 tx/s    0.4 Mgas/s      0+    9 Qed Ancient:#11318619 LI:#13337700   11/25 peers     18 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:21:46 UTC Syncing #13337692 0x41c5…72aa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11318620 LI:#13337702   10/25 peers    144 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:21:46 UTC Syncing #13337693 0x9ce8…af70     0.09 blk/s    7.5 tx/s    0.7 Mgas/s      0+   11 Qed Ancient:#11318684 LI:#13337702   10/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:21:46 UTC Syncing #13337693 0x9ce8…af70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11318684 LI:#13337702   10/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:21:49 UTC Syncing #13337693 0x9ce8…af70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11318685 LI:#13337703   10/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:22:01 UTC Syncing #13337693 0x9ce8…af70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11318685 LI:#13337703   10/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:22:01 UTC Syncing #13337693 0x9ce8…af70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11318685 LI:#13337703   10/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:22:06 UTC Syncing #13337693 0x9ce8…af70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11318685 LI:#13337706   10/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:22:09 UTC Syncing #13337693 0x9ce8…af70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11318685 LI:#13337706    7/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:22:18 UTC Syncing #13337693 0x9ce8…af70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11318685 LI:#13337706    9/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:22:19 UTC Syncing #13337693 0x9ce8…af70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11318685 LI:#13337706    9/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
