2021-10-02 04:26:24 UTC Syncing #13337704 0xfdcb…0942     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11318701 LI:#13337719   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:29 UTC Syncing #13337704 0xfdcb…0942     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11318701 LI:#13337721   26/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:35 UTC Syncing #13337706 0x58b6…ba2a     0.40 blk/s   20.6 tx/s    5.1 Mgas/s      0+   16 Qed Ancient:#11318703 LI:#13337722   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:44 UTC Syncing #13337706 0x58b6…ba2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318703 LI:#13337723   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:44 UTC Syncing #13337706 0x58b6…ba2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11318703 LI:#13337723   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:49 UTC Syncing #13337706 0x58b6…ba2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11318703 LI:#13337723   25/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:54 UTC Syncing #13337706 0x58b6…ba2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11318703 LI:#13337724   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:27:05 UTC Syncing #13337707 0x3f05…5adb     0.20 blk/s   85.4 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#11318704 LI:#13337724   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:27:05 UTC Syncing #13337707 0x3f05…5adb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11318704 LI:#13337724   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:27:09 UTC Syncing #13337707 0x3f05…5adb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11318704 LI:#13337724   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:27:14 UTC Syncing #13337707 0x3f05…5adb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11318704 LI:#13337724   27/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
