2021-09-22 04:54:15 UTC Syncing #13273529 0x57f1…4e76     0.04 blk/s   11.9 tx/s    1.1 Mgas/s      0+    6 Qed Ancient:#5718981 LI:#13273536   10/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:54:15 UTC Syncing #13273529 0x57f1…4e76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5719641 LI:#13273536   10/25 peers   432 bytes chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:54:29 UTC Syncing #13273531 0x188c…6586     0.31 blk/s   34.0 tx/s    3.1 Mgas/s      0+    6 Qed Ancient:#5719643 LI:#13273538   10/25 peers    145 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:54:29 UTC Syncing #13273532 0xb46d…7df5     0.24 blk/s   36.7 tx/s    3.9 Mgas/s      0+    6 Qed Ancient:#5719742 LI:#13273538   10/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:54:42 UTC Syncing #13273535 0x5aac…026f     0.34 blk/s   28.2 tx/s    2.2 Mgas/s      0+    6 Qed Ancient:#5719746 LI:#13273542   10/25 peers      2 MiB chain  908 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:54:42 UTC Syncing #13273535 0x5aac…026f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5719746 LI:#13273543   10/25 peers      2 MiB chain  908 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:54:51 UTC Syncing #13273536 0xa5db…6f26     0.20 blk/s   69.0 tx/s    5.9 Mgas/s      0+    6 Qed Ancient:#5719747 LI:#13273543   10/25 peers      2 MiB chain  853 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:55:31 UTC  Ancient:#5721088 AB:#5722557    5/25 peers   744 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:55:31 UTC Imported #13273543 0xe32c…9cf5 (172 txs, 20.16 Mgas, 7490 ms, 84.20 KiB)
2021-09-22 04:56:17 UTC  Ancient:#5722557 AB:#5722557    0/25 peers    0 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:56:52 UTC  Ancient:#5722557 AB:#5722557    0/25 peers      2 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:57:17 UTC Syncing #13273543 0xe32c…9cf5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5722557 LI:#13273543    1/25 peers      2 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:57:22 UTC Syncing #13273543 0xe32c…9cf5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5722557 LI:#13273543    1/25 peers      2 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:57:27 UTC Syncing #13273543 0xe32c…9cf5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5722557 LI:#13273553    1/25 peers     76 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:57:32 UTC Syncing #13273543 0xe32c…9cf5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5722557 LI:#13273555    3/25 peers     76 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:57:37 UTC Syncing #13273543 0xe32c…9cf5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5722557 LI:#13273556    3/25 peers     76 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:57:42 UTC Syncing #13273543 0xe32c…9cf5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5722557 LI:#13273556    5/25 peers     76 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:57:51 UTC Syncing #13273544 0x5c28…9151     0.20 blk/s   44.2 tx/s    4.2 Mgas/s      0+   13 Qed Ancient:#5722561 LI:#13273558    3/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:57:52 UTC Syncing #13273544 0x5c28…9151     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5722561 LI:#13273558    3/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:57:58 UTC Syncing #13273544 0x5c28…9151     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5722561 LI:#13273560    5/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:58:02 UTC Syncing #13273544 0x5c28…9151     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5722561 LI:#13273561    5/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:58:13 UTC Syncing #13273545 0x3544…6ca9     0.10 blk/s    8.7 tx/s    0.8 Mgas/s      0+   15 Qed Ancient:#5722562 LI:#13273561    4/25 peers    216 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:58:13 UTC Syncing #13273545 0x3544…6ca9     0.20 blk/s   17.4 tx/s    1.6 Mgas/s      0+   15 Qed Ancient:#5722562 LI:#13273561    4/25 peers    216 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:58:17 UTC Syncing #13273545 0x3544…6ca9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5722562 LI:#13273562    2/25 peers    216 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:58:22 UTC Syncing #13273545 0x3544…6ca9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5722562 LI:#13273563    3/25 peers    216 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:58:27 UTC Syncing #13273545 0x3544…6ca9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5722562 LI:#13273563    3/25 peers    216 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:58:32 UTC Syncing #13273546 0x42b4…dbe5     0.20 blk/s   31.6 tx/s    3.0 Mgas/s      0+   16 Qed Ancient:#5722563 LI:#13273563    3/25 peers    216 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:58:37 UTC Syncing #13273546 0x42b4…dbe5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5722563 LI:#13273563    3/25 peers    216 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:58:49 UTC Syncing #13273547 0x2752…286e     0.10 blk/s   18.2 tx/s    1.6 Mgas/s      0+   15 Qed Ancient:#5722564 LI:#13273563    3/25 peers    217 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:58:49 UTC Syncing #13273547 0x2752…286e     0.20 blk/s   36.4 tx/s    3.1 Mgas/s      0+   15 Qed Ancient:#5722564 LI:#13273563    3/25 peers    217 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:58:52 UTC Syncing #13273547 0x2752…286e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5722564 LI:#13273564    1/25 peers    217 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:58:58 UTC Syncing #13273549 0x1857…e090     0.40 blk/s   43.0 tx/s    4.5 Mgas/s      0+   14 Qed Ancient:#5722566 LI:#13273564    1/25 peers    357 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:59:05 UTC Syncing #13273549 0x1857…e090     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5722566 LI:#13273564    1/25 peers    357 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:59:07 UTC Syncing #13273549 0x1857…e090     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5722566 LI:#13273564    1/25 peers    357 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:59:12 UTC Syncing #13273549 0x1857…e090     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5722566 LI:#13273564    1/25 peers    357 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:59:17 UTC Syncing #13273549 0x1857…e090     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5722566 LI:#13273567    3/25 peers    357 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:59:22 UTC Syncing #13273549 0x1857…e090     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5722566 LI:#13273567    4/25 peers    357 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:59:32 UTC Syncing #13273550 0x6255…19ad     0.20 blk/s   50.6 tx/s    5.1 Mgas/s      0+   17 Qed Ancient:#5722567 LI:#13273568    3/25 peers    358 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:59:32 UTC Syncing #13273550 0x6255…19ad     0.10 blk/s   25.3 tx/s    2.5 Mgas/s      0+   17 Qed Ancient:#5722567 LI:#13273568    3/25 peers    358 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:59:41 UTC Syncing #13273551 0x71b5…a9ab     0.20 blk/s   13.2 tx/s    1.8 Mgas/s      0+   16 Qed Ancient:#5722568 LI:#13273568    3/25 peers    358 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:59:49 UTC Syncing #13273552 0x7fcf…d146     0.10 blk/s    8.2 tx/s    0.8 Mgas/s      0+   15 Qed Ancient:#5722569 LI:#13273568    3/25 peers    358 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:59:49 UTC Syncing #13273552 0x7fcf…d146     0.20 blk/s   16.4 tx/s    1.6 Mgas/s      0+   15 Qed Ancient:#5722569 LI:#13273568    3/25 peers    358 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:59:52 UTC Syncing #13273552 0x7fcf…d146     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5722569 LI:#13273568    1/25 peers    358 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:59:57 UTC Syncing #13273552 0x7fcf…d146     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5722569 LI:#13273569    2/25 peers    358 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:00:02 UTC Syncing #13273552 0x7fcf…d146     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5722569 LI:#13273570    3/25 peers    358 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:00:08 UTC Syncing #13273552 0x7fcf…d146     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5722569 LI:#13273571    3/25 peers    358 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:00:13 UTC Syncing #13273553 0x2970…7533     0.20 blk/s   88.0 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#5722570 LI:#13273571    3/25 peers    638 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:00:16 UTC Could not revert to previous block, last: 13273570 (0x6038…0cce)
