2021-09-22 04:50:40 UTC Syncing #13273516 0x660f…36e5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5718947 LI:#13273527   18/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:50:42 UTC Syncing #13273516 0x660f…36e5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5718947 LI:#13273527   18/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:50:54 UTC Syncing #13273517 0x8afb…afd3     0.10 blk/s   13.0 tx/s    0.9 Mgas/s      0+   10 Qed Ancient:#5718968 LI:#13273527   16/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:50:54 UTC Syncing #13273516 0x660f…36e5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5718947 LI:#13273527   16/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:51:00 UTC Syncing #13273517 0x8afb…afd3     0.22 blk/s   29.1 tx/s    2.1 Mgas/s      0+    9 Qed Ancient:#5718969 LI:#13273527   15/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:51:06 UTC Syncing #13273518 0xed41…5f41     0.20 blk/s   15.0 tx/s    1.5 Mgas/s      0+    8 Qed Ancient:#5718970 LI:#13273527   15/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:51:07 UTC Syncing #13273518 0xed41…5f41     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5718970 LI:#13273527   15/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:51:17 UTC Syncing #13273519 0xbdc0…0045     0.20 blk/s   22.2 tx/s    1.7 Mgas/s      0+    7 Qed Ancient:#5718971 LI:#13273527   15/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:51:24 UTC Syncing #13273520 0xcf7b…0040     0.20 blk/s   23.0 tx/s    1.7 Mgas/s      0+    6 Qed Ancient:#5718972 LI:#13273527   15/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:51:24 UTC Syncing #13273520 0xcf7b…0040     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5718972 LI:#13273527   15/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:51:43 UTC Syncing #13273521 0x7e2d…45d9     0.38 blk/s   64.2 tx/s    6.6 Mgas/s      0+    6 Qed Ancient:#5718972 LI:#13273527   15/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:51:43 UTC Syncing #13273521 0x7e2d…45d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5718973 LI:#13273527   15/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
