2021-09-22 05:00:47 UTC Syncing #13273557 0x8b11…c3f0     0.20 blk/s   11.8 tx/s    1.2 Mgas/s      0+   17 Qed Ancient:#5722574 LI:#13273575    9/25 peers    639 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:00:55 UTC Syncing #13273558 0x7046…1918     0.20 blk/s   11.8 tx/s    1.0 Mgas/s      0+   16 Qed Ancient:#5722575 LI:#13273575    7/25 peers    640 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:01:05 UTC Syncing #13273558 0x7046…1918     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5722575 LI:#13273576    6/25 peers    640 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:01:05 UTC Syncing #13273558 0x7046…1918     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5722575 LI:#13273576    6/25 peers    640 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:01:16 UTC Syncing #13273560 0xffdd…6937     0.20 blk/s   22.2 tx/s    2.6 Mgas/s      0+   16 Qed Ancient:#5722577 LI:#13273577    5/25 peers    640 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:01:16 UTC Syncing #13273559 0x05b5…c292     0.20 blk/s   31.2 tx/s    4.3 Mgas/s      0+   17 Qed Ancient:#5722576 LI:#13273577    5/25 peers    640 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:01:22 UTC Syncing #13273560 0xffdd…6937     0.10 blk/s    6.6 tx/s    0.5 Mgas/s      0+   17 Qed Ancient:#5722577 LI:#13273578    3/25 peers    640 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:01:22 UTC Syncing #13273560 0xffdd…6937     0.20 blk/s   13.2 tx/s    1.0 Mgas/s      0+   17 Qed Ancient:#5722577 LI:#13273578    3/25 peers    640 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:01:29 UTC Syncing #13273562 0x4aed…8f6b     0.40 blk/s   44.6 tx/s    6.3 Mgas/s      0+   16 Qed Ancient:#5722579 LI:#13273579    3/25 peers    641 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:01:35 UTC Syncing #13273564 0x5b92…7030     0.40 blk/s   57.2 tx/s    5.9 Mgas/s      0+   14 Qed Ancient:#5722581 LI:#13273579    3/25 peers    641 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:01:42 UTC Syncing #13273564 0x5b92…7030     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5722581 LI:#13273580    3/25 peers    641 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:01:42 UTC Syncing #13273566 0xd968…b1ad     0.20 blk/s   32.5 tx/s    3.4 Mgas/s      0+   13 Qed Ancient:#5722583 LI:#13273580    3/25 peers    642 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:01:49 UTC Syncing #13273567 0xb876…f724     0.20 blk/s   25.8 tx/s    2.8 Mgas/s      0+   12 Qed Ancient:#5722584 LI:#13273580    3/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:01:57 UTC Syncing #13273567 0xb876…f724     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5722584 LI:#13273581    3/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
