2021-10-02 05:22:45 UTC Syncing #13337958 0x2fdc…fb11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11329420 LI:#13337965   17/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:22:50 UTC Syncing #13337958 0x2fdc…fb11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11329420 LI:#13337965   16/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:22:55 UTC Syncing #13337958 0x2fdc…fb11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11329420 LI:#13337966   15/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:23:00 UTC Syncing #13337958 0x2fdc…fb11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11329420 LI:#13337966   16/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:23:05 UTC Syncing #13337958 0x2fdc…fb11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11329420 LI:#13337966   17/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:23:10 UTC Syncing #13337959 0xcd91…8e3a     0.20 blk/s   57.6 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#11329421 LI:#13337966   19/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:23:15 UTC Syncing #13337959 0xcd91…8e3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11329421 LI:#13337967   16/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:23:53 UTC Syncing #13337960 0x7c26…bc44     0.04 blk/s    8.3 tx/s    0.9 Mgas/s      0+    8 Qed Ancient:#11329422 LI:#13337968   13/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:23:53 UTC Syncing #13337960 0x7c26…bc44     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11329638 LI:#13337969   13/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:24:01 UTC Syncing #13337960 0x7c26…bc44     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11329640 LI:#13337970   13/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:24:06 UTC Syncing #13337961 0x0c29…37a8     0.28 blk/s   60.6 tx/s    5.4 Mgas/s      0+    8 Qed Ancient:#11329641 LI:#13337971   12/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:24:10 UTC Syncing #13337961 0x0c29…37a8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11329641 LI:#13337971   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:24:19 UTC Syncing #13337964 0x179f…791d     0.60 blk/s   95.8 tx/s    8.6 Mgas/s      0+    6 Qed Ancient:#11329644 LI:#13337971   12/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:24:24 UTC Syncing #13337965 0x5678…29e9     0.20 blk/s   32.2 tx/s    2.6 Mgas/s      0+    5 Qed Ancient:#11329646 LI:#13337971   11/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:24:28 UTC Syncing #13337966 0xd3d7…862a     0.20 blk/s    7.4 tx/s    0.9 Mgas/s      0+    4 Qed Ancient:#11329647 LI:#13337971   11/25 peers      6 MiB chain  654 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:24:56 UTC  Ancient:#11329653 AB:#11332809   11/25 peers      6 MiB chain  315 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:25:44 UTC Imported #13337973 0x8086…7e78 (108 txs, 13.83 Mgas, 4162 ms, 135.17 KiB)
2021-10-02 05:25:44 UTC  Ancient:#11331131 AB:#11332809    8/25 peers    0 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:26:15 UTC  Ancient:#11331162 AB:#11332809    3/25 peers    573 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:26:20 UTC Syncing #13337973 0x8086…7e78     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#11331194 LI:#13337972    2/25 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:26:40 UTC Syncing #13337973 0x8086…7e78     0.05 blk/s    0.8 tx/s    0.1 Mgas/s      0+    4 Qed Ancient:#11331220 LI:#13337978    5/25 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:26:45 UTC Syncing #13337973 0x8086…7e78     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11331220 LI:#13337979    4/25 peers      8 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:26:50 UTC Syncing #13337973 0x8086…7e78     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11331220 LI:#13337980    5/25 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:26:58 UTC Syncing #13337973 0x8086…7e78     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11331220 LI:#13337980    9/25 peers    394 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:27:00 UTC Syncing #13337973 0x8086…7e78     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11331220 LI:#13337980    9/25 peers    394 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:27:05 UTC Syncing #13337973 0x8086…7e78     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11331220 LI:#13337980    9/25 peers    394 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:27:10 UTC Syncing #13337973 0x8086…7e78     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11331220 LI:#13337981    3/25 peers    394 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:27:12 UTC Reorg to #13337974 0x5f90…18b7 (0x8086…7e78 #13337972 0xf878…108a 0x710e…5e95)
2021-10-02 05:27:23 UTC Syncing #13337974 0x5f90…18b7     0.10 blk/s   45.5 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#11331221 LI:#13337981    3/25 peers    877 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:27:23 UTC Syncing #13337974 0x5f90…18b7     0.20 blk/s   91.0 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#11331221 LI:#13337981    3/25 peers    877 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:27:25 UTC Syncing #13337974 0x5f90…18b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11331221 LI:#13337982    3/25 peers    877 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:27:30 UTC Syncing #13337974 0x5f90…18b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11331221 LI:#13337982    4/25 peers    877 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:27:35 UTC Syncing #13337974 0x5f90…18b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11331221 LI:#13337982    8/25 peers    877 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:27:40 UTC Syncing #13337974 0x5f90…18b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11331221 LI:#13337982    7/25 peers    877 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:27:45 UTC Syncing #13337974 0x5f90…18b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11331221 LI:#13337982    6/25 peers    877 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:27:50 UTC Syncing #13337974 0x5f90…18b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11331221 LI:#13337982    7/25 peers    877 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:27:55 UTC Syncing #13337974 0x5f90…18b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11331221 LI:#13337983    5/25 peers    877 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:28:07 UTC Syncing #13337975 0xb1a8…2a1f     0.20 blk/s   61.4 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#11331222 LI:#13337983    5/25 peers    947 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
