2021-10-02 05:18:15 UTC Syncing #13337942 0x168c…3199     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11327918 LI:#13337948   24/25 peers      5 MiB chain  929 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:18:20 UTC Syncing #13337942 0x168c…3199     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11327918 LI:#13337948   25/25 peers      5 MiB chain  929 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:18:25 UTC Syncing #13337942 0x168c…3199     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11327918 LI:#13337949   24/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:18:30 UTC Syncing #13337943 0x414b…b2c3     0.20 blk/s   37.4 tx/s    2.7 Mgas/s      0+    5 Qed Ancient:#11327919 LI:#13337949   25/25 peers      5 MiB chain  933 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:18:35 UTC Syncing #13337943 0x414b…b2c3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11327919 LI:#13337950   23/25 peers      5 MiB chain  982 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:18:40 UTC Syncing #13337943 0x414b…b2c3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11327919 LI:#13337951   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:18:45 UTC Syncing #13337944 0xa5ab…4174     0.20 blk/s   45.4 tx/s    4.2 Mgas/s      0+    7 Qed Ancient:#11327920 LI:#13337952   25/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:18:50 UTC Syncing #13337946 0xef16…2adc     0.40 blk/s   18.2 tx/s    1.5 Mgas/s      0+    6 Qed Ancient:#11327922 LI:#13337953   24/25 peers      6 MiB chain  916 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:18:55 UTC Syncing #13337946 0xef16…2adc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11327922 LI:#13337953   24/25 peers      6 MiB chain  916 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:19:00 UTC Syncing #13337948 0xd30c…c6bd     0.40 blk/s   80.8 tx/s    7.8 Mgas/s      0+    4 Qed Ancient:#11327924 LI:#13337953   23/25 peers     10 MiB chain  543 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:19:12 UTC Imported #13337953 0x0e57…1d5f (75 txs, 6.80 Mgas, 2240 ms, 41.82 KiB)
2021-10-02 05:20:00 UTC  Ancient:#11329413 AB:#11332008   24/25 peers     19 KiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:20:00 UTC  Ancient:#11329413 AB:#11332008   24/25 peers     19 KiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:20:00 UTC  Ancient:#11329413 AB:#11332008   24/25 peers     19 KiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:20:05 UTC Syncing #13337953 0x0e57…1d5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11329414 LI:#13337957   22/25 peers    111 KiB chain  836 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:20:10 UTC Syncing #13337953 0x0e57…1d5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11329414 LI:#13337957   21/25 peers    111 KiB chain  836 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:20:15 UTC Syncing #13337953 0x0e57…1d5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11329414 LI:#13337957   18/25 peers    111 KiB chain  836 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:20:20 UTC Syncing #13337953 0x0e57…1d5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11329414 LI:#13337957   12/25 peers    111 KiB chain  836 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:20:25 UTC Syncing #13337953 0x0e57…1d5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11329414 LI:#13337957   13/25 peers    111 KiB chain  836 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:20:30 UTC Syncing #13337953 0x0e57…1d5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11329414 LI:#13337957   15/25 peers    111 KiB chain  836 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:20:35 UTC Syncing #13337953 0x0e57…1d5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11329414 LI:#13337957   14/25 peers    111 KiB chain  836 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:20:40 UTC Syncing #13337953 0x0e57…1d5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11329414 LI:#13337957   14/25 peers    111 KiB chain  836 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:20:47 UTC Syncing #13337953 0x0e57…1d5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11329414 LI:#13337958   13/25 peers    111 KiB chain  836 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:20:50 UTC Syncing #13337953 0x0e57…1d5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11329414 LI:#13337958   10/25 peers    111 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:20:55 UTC Syncing #13337953 0x0e57…1d5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11329414 LI:#13337959   12/25 peers    111 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:21:00 UTC Syncing #13337953 0x0e57…1d5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11329414 LI:#13337959   13/25 peers    111 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:21:05 UTC Syncing #13337953 0x0e57…1d5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11329414 LI:#13337959   16/25 peers    111 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:21:10 UTC Syncing #13337954 0xa037…ee21     0.20 blk/s   61.2 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11329415 LI:#13337959   14/25 peers    146 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:21:15 UTC Syncing #13337954 0xa037…ee21     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11329415 LI:#13337960   13/25 peers    146 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:21:20 UTC Syncing #13337954 0xa037…ee21     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11329415 LI:#13337960   19/25 peers    219 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:21:25 UTC Syncing #13337954 0xa037…ee21     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11329415 LI:#13337960   21/25 peers    293 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:21:30 UTC Syncing #13337954 0xa037…ee21     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11329415 LI:#13337960   20/25 peers    293 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:21:35 UTC Syncing #13337955 0x6bda…9439     0.20 blk/s   42.6 tx/s    5.6 Mgas/s      0+    6 Qed Ancient:#11329416 LI:#13337961   14/25 peers    364 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:21:40 UTC Syncing #13337955 0x6bda…9439     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11329416 LI:#13337961   14/25 peers    364 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:21:43 UTC Reorg to #13337956 0x5f07…e3bf (0x6bda…9439 #13337954 0xa037…ee21 0xd45e…c99e)
2021-10-02 05:21:45 UTC Syncing #13337956 0x5f07…e3bf     0.40 blk/s   53.2 tx/s    6.6 Mgas/s      0+    4 Qed Ancient:#11329418 LI:#13337961   15/25 peers    675 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:21:50 UTC Syncing #13337956 0x5f07…e3bf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11329418 LI:#13337961   15/25 peers    675 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:21:55 UTC Syncing #13337957 0x2e6b…fc1c     0.20 blk/s    8.0 tx/s    1.0 Mgas/s      0+    4 Qed Ancient:#11329418 LI:#13337961   17/25 peers    676 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:22:28 UTC Syncing #13337957 0x2e6b…fc1c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11329419 LI:#13337962   17/25 peers    676 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:22:30 UTC Syncing #13337957 0x2e6b…fc1c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11329419 LI:#13337963   16/25 peers    676 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:22:35 UTC Syncing #13337958 0x2fdc…fb11     0.20 blk/s   68.8 tx/s    4.7 Mgas/s      0+    5 Qed Ancient:#11329420 LI:#13337964   18/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:22:40 UTC Syncing #13337958 0x2fdc…fb11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11329420 LI:#13337964   17/25 peers      8 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:22:45 UTC Syncing #13337958 0x2fdc…fb11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11329420 LI:#13337965   17/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:22:50 UTC Syncing #13337958 0x2fdc…fb11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11329420 LI:#13337965   16/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:22:55 UTC Syncing #13337958 0x2fdc…fb11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11329420 LI:#13337966   15/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:23:00 UTC Syncing #13337958 0x2fdc…fb11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11329420 LI:#13337966   16/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:23:05 UTC Syncing #13337958 0x2fdc…fb11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11329420 LI:#13337966   17/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
