2021-10-02 05:33:16 UTC Syncing #13337995 0x5218…bace     0.10 blk/s   38.9 tx/s    3.0 Mgas/s      0+   11 Qed Ancient:#11331318 LI:#13338007    7/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:33:24 UTC Syncing #13337996 0x6dfe…446f     0.20 blk/s   51.6 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#11331319 LI:#13338009    7/25 peers      7 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:33:31 UTC Syncing #13338000 0x1e68…e005     0.40 blk/s   32.7 tx/s    3.2 Mgas/s      0+    9 Qed Ancient:#11331323 LI:#13338010    7/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:33:31 UTC Syncing #13337997 0x39d4…fbf4     0.20 blk/s   42.4 tx/s    4.2 Mgas/s      0+   12 Qed Ancient:#11331320 LI:#13338010    7/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:33:38 UTC Syncing #13338000 0x1e68…e005     0.60 blk/s   23.0 tx/s    2.2 Mgas/s      0+    9 Qed Ancient:#11331323 LI:#13338010    7/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:33:44 UTC Syncing #13338001 0x2d4d…5a61     0.20 blk/s   62.6 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#11331324 LI:#13338010    7/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:33:50 UTC Syncing #13338002 0xf824…de58     0.20 blk/s   25.4 tx/s    3.3 Mgas/s      0+    8 Qed Ancient:#11331325 LI:#13338011    7/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:33:50 UTC Syncing #13338003 0x6c00…386e     0.20 blk/s   60.0 tx/s    5.3 Mgas/s      0+    7 Qed Ancient:#11331326 LI:#13338011    7/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:34:02 UTC Syncing #13338004 0x06ae…d6ac     0.20 blk/s   30.6 tx/s    3.5 Mgas/s      0+    6 Qed Ancient:#11331327 LI:#13338011    6/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:34:02 UTC Syncing #13338006 0x382e…5f08     0.30 blk/s   43.3 tx/s    4.2 Mgas/s      0+    4 Qed Ancient:#11331329 LI:#13338011    6/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:34:09 UTC Syncing #13338007 0x6867…a400     0.20 blk/s    9.2 tx/s    1.3 Mgas/s      0+    6 Qed Ancient:#11331330 LI:#13338014    6/25 peers      2 MiB chain  975 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:34:40 UTC  Ancient:#11331707 AB:#11334625    5/25 peers     11 MiB chain    1 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:35:05 UTC Imported #13338017 0x6bcb…41eb (195 txs, 19.85 Mgas, 6793 ms, 63.40 KiB)
2021-10-02 05:35:55 UTC Syncing #13338017 0x6bcb…41eb     0.03 blk/s    2.6 tx/s    0.3 Mgas/s      0+    9 Qed Ancient:#11333785 LI:#13338026    3/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:35:55 UTC Syncing #13338017 0x6bcb…41eb     0.03 blk/s    2.7 tx/s    0.3 Mgas/s      0+    9 Qed Ancient:#11333714 LI:#13338026    3/25 peers    0 bytes chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:36:06 UTC Syncing #13338017 0x6bcb…41eb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11333841 LI:#13338027    3/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:36:10 UTC Syncing #13338017 0x6bcb…41eb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11333841 LI:#13338027    3/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:36:15 UTC Syncing #13338017 0x6bcb…41eb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11333841 LI:#13338027    3/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:36:20 UTC Syncing #13338017 0x6bcb…41eb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11333841 LI:#13338027    3/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:36:25 UTC Syncing #13338018 0x4cf0…bcbe     0.20 blk/s   26.6 tx/s    2.2 Mgas/s      0+    8 Qed Ancient:#11333843 LI:#13338027    3/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:36:30 UTC Syncing #13338018 0x4cf0…bcbe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11333843 LI:#13338027    3/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:36:35 UTC Syncing #13338018 0x4cf0…bcbe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11333843 LI:#13338027    3/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:36:40 UTC Syncing #13338018 0x4cf0…bcbe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11333843 LI:#13338028    6/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:36:45 UTC Syncing #13338018 0x4cf0…bcbe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11333843 LI:#13338028    9/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:36:50 UTC Syncing #13338018 0x4cf0…bcbe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11333843 LI:#13338028    9/25 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:36:55 UTC Syncing #13338018 0x4cf0…bcbe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11333843 LI:#13338028    9/25 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:37:00 UTC Syncing #13338019 0x86aa…ccda     0.20 blk/s   27.4 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#11333845 LI:#13338028   10/25 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:37:05 UTC Syncing #13338019 0x86aa…ccda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11333845 LI:#13338029    8/25 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:37:10 UTC Syncing #13338019 0x86aa…ccda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11333845 LI:#13338030    9/25 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:37:15 UTC Syncing #13338019 0x86aa…ccda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11333845 LI:#13338030   12/25 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:37:21 UTC Syncing #13338019 0x86aa…ccda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11333845 LI:#13338031   14/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:37:26 UTC Syncing #13338019 0x86aa…ccda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11333845 LI:#13338031   14/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:37:30 UTC Syncing #13338019 0x86aa…ccda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11333845 LI:#13338031   14/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:37:35 UTC Syncing #13338019 0x86aa…ccda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11333845 LI:#13338033   13/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:37:40 UTC Syncing #13338019 0x86aa…ccda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11333845 LI:#13338033   14/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:37:46 UTC Syncing #13338020 0xb289…f6bf     0.20 blk/s   44.2 tx/s    4.3 Mgas/s      0+   14 Qed Ancient:#11333846 LI:#13338035   19/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:37:51 UTC Syncing #13338020 0xb289…f6bf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11333846 LI:#13338036   18/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:37:55 UTC Syncing #13338021 0x2984…24ae     0.20 blk/s   21.0 tx/s    2.2 Mgas/s      0+   15 Qed Ancient:#11333848 LI:#13338036   19/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:38:00 UTC Syncing #13338022 0xdfab…ae4d     0.20 blk/s    7.6 tx/s    0.8 Mgas/s      0+   13 Qed Ancient:#11333850 LI:#13338036   19/25 peers    648 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:38:05 UTC Syncing #13338022 0xdfab…ae4d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11333850 LI:#13338036   19/25 peers    648 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:38:10 UTC Syncing #13338022 0xdfab…ae4d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11333850 LI:#13338036   19/25 peers    648 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:38:15 UTC Syncing #13338022 0xdfab…ae4d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11333850 LI:#13338037   20/25 peers    713 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:38:23 UTC Syncing #13338023 0x8022…8477     0.20 blk/s   31.0 tx/s    4.1 Mgas/s      0+   13 Qed Ancient:#11333851 LI:#13338037   19/25 peers    796 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:38:25 UTC Syncing #13338023 0x8022…8477     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11333851 LI:#13338037   18/25 peers    796 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
