2021-10-02 05:38:00 UTC Syncing #13338022 0xdfab…ae4d     0.20 blk/s    7.6 tx/s    0.8 Mgas/s      0+   13 Qed Ancient:#11333850 LI:#13338036   19/25 peers    648 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:38:05 UTC Syncing #13338022 0xdfab…ae4d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11333850 LI:#13338036   19/25 peers    648 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:38:10 UTC Syncing #13338022 0xdfab…ae4d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11333850 LI:#13338036   19/25 peers    648 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:38:15 UTC Syncing #13338022 0xdfab…ae4d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11333850 LI:#13338037   20/25 peers    713 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:38:23 UTC Syncing #13338023 0x8022…8477     0.20 blk/s   31.0 tx/s    4.1 Mgas/s      0+   13 Qed Ancient:#11333851 LI:#13338037   19/25 peers    796 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:38:25 UTC Syncing #13338023 0x8022…8477     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11333851 LI:#13338037   18/25 peers    796 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:38:30 UTC Syncing #13338024 0x1326…f809     0.20 blk/s    9.6 tx/s    1.1 Mgas/s      0+   13 Qed Ancient:#11333853 LI:#13338038   17/25 peers    796 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:38:35 UTC Syncing #13338024 0x1326…f809     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11333853 LI:#13338038   17/25 peers    796 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:38:42 UTC Syncing #13338024 0x1326…f809     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11333853 LI:#13338038   21/25 peers    796 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:38:45 UTC Syncing #13338024 0x1326…f809     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11333853 LI:#13338038   21/25 peers    796 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:39:47 UTC Syncing #13338025 0x3274…6f1e     0.02 blk/s    2.9 tx/s    0.4 Mgas/s      0+   16 Qed Ancient:#11333854 LI:#13338041   20/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:40:05 UTC Syncing #13338025 0x3274…6f1e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11334386 LI:#13338046   18/25 peers   728 bytes chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:40:11 UTC Syncing #13338025 0x3274…6f1e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11334389 LI:#13338047   18/25 peers    419 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:40:14 UTC Syncing #13338025 0x3274…6f1e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11334395 LI:#13338049   17/25 peers    491 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:40:40 UTC Syncing #13338025 0x3274…6f1e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11334715 LI:#13338051   13/25 peers    0 bytes chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:40:40 UTC Syncing #13338025 0x3274…6f1e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11334923 LI:#13338051   13/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:40:53 UTC Syncing #13338026 0x2824…7724     0.08 blk/s    7.4 tx/s    1.0 Mgas/s      0+   26 Qed Ancient:#11334925 LI:#13338052   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:40:53 UTC Syncing #13338025 0x3274…6f1e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11334924 LI:#13338052   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:41:00 UTC Syncing #13338026 0x2824…7724     0.16 blk/s   15.1 tx/s    2.0 Mgas/s      0+   25 Qed Ancient:#11334926 LI:#13338052   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:41:05 UTC Syncing #13338026 0x2824…7724     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11334926 LI:#13338053   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:41:17 UTC Syncing #13338026 0x2824…7724     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11334926 LI:#13338053   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:41:17 UTC Syncing #13338026 0x2824…7724     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11334926 LI:#13338053   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:41:24 UTC Syncing #13338026 0x2824…7724     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#11334926 LI:#13338054   12/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
