2021-05-09 11:33:03 UTC Syncing #12399739 0x1614…72a3     0.20 blk/s   55.2 tx/s    3.0 Mgas/s      0+  184 Qed Ancient:#12143609 LI:#12399924   32/50 peers    145 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:33:08 UTC Syncing #12399739 0x1614…72a3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  184 Qed Ancient:#12143609 LI:#12399924   32/50 peers    145 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:33:13 UTC Syncing #12399740 0x5735…9372     0.20 blk/s   47.2 tx/s    3.0 Mgas/s      0+  183 Qed Ancient:#12143609 LI:#12399924   32/50 peers    145 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:33:18 UTC Syncing #12399740 0x5735…9372     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  183 Qed Ancient:#12143609 LI:#12399924   32/50 peers      2 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:33:23 UTC Syncing #12399741 0x0506…5580     0.20 blk/s   33.4 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12143609 LI:#12399924   33/50 peers      3 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:33:28 UTC Syncing #12399742 0x8516…8d33     0.20 blk/s   32.6 tx/s    2.9 Mgas/s      0+  182 Qed Ancient:#12143609 LI:#12399925   33/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:33:33 UTC Syncing #12399742 0x8516…8d33     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  183 Qed Ancient:#12143609 LI:#12399926   34/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:33:38 UTC Syncing #12399743 0x5cde…6f8c     0.20 blk/s   32.8 tx/s    3.0 Mgas/s      0+  183 Qed Ancient:#12143609 LI:#12399927   34/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:33:43 UTC Syncing #12399744 0x68b3…7b83     0.20 blk/s   52.2 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12143609 LI:#12399927   34/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:33:48 UTC Syncing #12399744 0x68b3…7b83     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  182 Qed Ancient:#12143609 LI:#12399927   34/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:33:53 UTC Syncing #12399745 0x957d…757d     0.20 blk/s   36.8 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12143609 LI:#12399928   35/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:33:58 UTC Syncing #12399745 0x957d…757d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  182 Qed Ancient:#12143609 LI:#12399928   35/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:03 UTC Syncing #12399746 0x484e…1e03     0.20 blk/s   52.4 tx/s    2.8 Mgas/s      0+  181 Qed Ancient:#12143609 LI:#12399928   35/50 peers      4 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:08 UTC Syncing #12399747 0x2ec4…5341     0.20 blk/s   52.4 tx/s    3.0 Mgas/s      0+  180 Qed Ancient:#12143609 LI:#12399928   35/50 peers      4 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:13 UTC Syncing #12399747 0x2ec4…5341     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  181 Qed Ancient:#12143609 LI:#12399929   36/50 peers      4 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:18 UTC Syncing #12399747 0x2ec4…5341     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  182 Qed Ancient:#12143609 LI:#12399930   37/50 peers      4 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
