2021-05-09 11:28:08 UTC Syncing #12399734 0xaca6…f123     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  174 Qed Ancient:#12139328 LI:#12399909   21/25 peers     75 KiB chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:28:18 UTC Syncing #12399735 0xa7c6…3bc7     0.10 blk/s   32.1 tx/s    1.5 Mgas/s      0+  175 Qed Ancient:#12139493 LI:#12399910   21/25 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:28:18 UTC Syncing #12399735 0xa7c6…3bc7     0.10 blk/s   32.1 tx/s    1.5 Mgas/s      0+  174 Qed Ancient:#12139493 LI:#12399910   21/25 peers      4 MiB chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:28:23 UTC Syncing #12399735 0xa7c6…3bc7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  174 Qed Ancient:#12139493 LI:#12399910   21/25 peers      4 MiB chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:30:47 UTC Syncing #12399737 0xe234…9a08     0.01 blk/s    3.1 tx/s    0.2 Mgas/s      0+  182 Qed Ancient:#12139961 LI:#12399919   27/50 peers    0 bytes chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:32:40 UTC Syncing #12399737 0xe234…9a08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12143609 LI:#12399924   29/50 peers     20 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:32:40 UTC Syncing #12399737 0xe234…9a08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12143609 LI:#12399924   29/50 peers     71 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:32:40 UTC Syncing #12399737 0xe234…9a08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12143609 LI:#12399924   29/50 peers     20 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:32:43 UTC Syncing #12399737 0xe234…9a08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12143609 LI:#12399924   29/50 peers     74 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:32:48 UTC Syncing #12399737 0xe234…9a08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12143609 LI:#12399924   29/50 peers     74 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:32:53 UTC Syncing #12399738 0x5a3b…9a25     0.20 blk/s   46.0 tx/s    3.0 Mgas/s      0+  185 Qed Ancient:#12143609 LI:#12399924   30/50 peers    109 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
