2021-05-09 11:33:38 UTC Syncing #12399743 0x5cde…6f8c     0.20 blk/s   32.8 tx/s    3.0 Mgas/s      0+  183 Qed Ancient:#12143609 LI:#12399927   34/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:33:43 UTC Syncing #12399744 0x68b3…7b83     0.20 blk/s   52.2 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12143609 LI:#12399927   34/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:33:48 UTC Syncing #12399744 0x68b3…7b83     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  182 Qed Ancient:#12143609 LI:#12399927   34/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:33:53 UTC Syncing #12399745 0x957d…757d     0.20 blk/s   36.8 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12143609 LI:#12399928   35/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:33:58 UTC Syncing #12399745 0x957d…757d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  182 Qed Ancient:#12143609 LI:#12399928   35/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:03 UTC Syncing #12399746 0x484e…1e03     0.20 blk/s   52.4 tx/s    2.8 Mgas/s      0+  181 Qed Ancient:#12143609 LI:#12399928   35/50 peers      4 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:08 UTC Syncing #12399747 0x2ec4…5341     0.20 blk/s   52.4 tx/s    3.0 Mgas/s      0+  180 Qed Ancient:#12143609 LI:#12399928   35/50 peers      4 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:13 UTC Syncing #12399747 0x2ec4…5341     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  181 Qed Ancient:#12143609 LI:#12399929   36/50 peers      4 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:18 UTC Syncing #12399747 0x2ec4…5341     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  182 Qed Ancient:#12143609 LI:#12399930   37/50 peers      4 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:23 UTC Syncing #12399748 0x32be…8c5e     0.20 blk/s   90.6 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12143609 LI:#12399931   38/50 peers      4 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:28 UTC Syncing #12399749 0x6588…1035     0.20 blk/s   58.2 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12143609 LI:#12399931   38/50 peers      4 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:33 UTC Syncing #12399749 0x6588…1035     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  181 Qed Ancient:#12143609 LI:#12399931   38/50 peers      4 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:38 UTC Syncing #12399750 0x60e3…e233     0.20 blk/s   48.0 tx/s    2.8 Mgas/s      0+  180 Qed Ancient:#12143609 LI:#12399931   38/50 peers      4 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:43 UTC Syncing #12399750 0x60e3…e233     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  182 Qed Ancient:#12143609 LI:#12399933   38/50 peers      4 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:48 UTC Syncing #12399751 0x7047…4748     0.20 blk/s   46.0 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12143609 LI:#12399933   38/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:53 UTC Syncing #12399752 0xaed8…7be3     0.20 blk/s   49.2 tx/s    2.9 Mgas/s      0+  180 Qed Ancient:#12143609 LI:#12399933   38/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:34:58 UTC Syncing #12399752 0xaed8…7be3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  180 Qed Ancient:#12143609 LI:#12399933   38/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:35:03 UTC Syncing #12399752 0xaed8…7be3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  180 Qed Ancient:#12143609 LI:#12399933   39/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:35:08 UTC Syncing #12399753 0xe4f2…e453     0.20 blk/s   65.4 tx/s    2.9 Mgas/s      0+  179 Qed Ancient:#12143609 LI:#12399933   39/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:35:13 UTC Syncing #12399754 0x5a46…a91d     0.20 blk/s   66.0 tx/s    3.0 Mgas/s      0+  179 Qed Ancient:#12143609 LI:#12399934   39/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:35:18 UTC Syncing #12399754 0x5a46…a91d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  181 Qed Ancient:#12143609 LI:#12399936   40/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:35:23 UTC Syncing #12399755 0xa98e…fbf7     0.20 blk/s   67.4 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12143609 LI:#12399937   40/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:35:28 UTC Syncing #12399755 0xa98e…fbf7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  181 Qed Ancient:#12143609 LI:#12399937   40/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:35:33 UTC Syncing #12399756 0x2da7…5684     0.20 blk/s   52.8 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12143609 LI:#12399938   40/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:35:38 UTC Syncing #12399757 0x9e14…ae7a     0.20 blk/s   62.4 tx/s    3.0 Mgas/s      0+  180 Qed Ancient:#12143609 LI:#12399939   39/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:35:43 UTC Syncing #12399757 0x9e14…ae7a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  181 Qed Ancient:#12143609 LI:#12399939   39/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:35:48 UTC Syncing #12399758 0x667b…7245     0.20 blk/s   74.4 tx/s    3.0 Mgas/s      0+  180 Qed Ancient:#12143609 LI:#12399939   39/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:35:53 UTC Syncing #12399759 0xc710…f9a2     0.20 blk/s   54.0 tx/s    3.0 Mgas/s      0+  179 Qed Ancient:#12143609 LI:#12399939   39/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:35:58 UTC Syncing #12399760 0xe79a…4087     0.20 blk/s   35.4 tx/s    3.0 Mgas/s      0+  178 Qed Ancient:#12143609 LI:#12399939   39/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
