2021-05-09 11:37:19 UTC Syncing #12399767 0x0358…17f6     0.03 blk/s    9.7 tx/s    0.5 Mgas/s      0+  179 Qed Ancient:#12145182 LI:#12399945   28/50 peers     37 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:37:26 UTC Syncing #12399768 0x9cd5…21d2     0.13 blk/s   33.8 tx/s    1.9 Mgas/s      0+  178 Qed Ancient:#12145215 LI:#12399945   29/50 peers    639 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:37:39 UTC Syncing #12399769 0x8421…6595     0.08 blk/s   17.4 tx/s    1.2 Mgas/s      0+  177 Qed Ancient:#12145764 LI:#12399946   28/50 peers      2 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:37:39 UTC Syncing #12399769 0x8421…6595     0.08 blk/s   17.5 tx/s    1.2 Mgas/s      0+  178 Qed Ancient:#12145764 LI:#12399946   28/50 peers    0 bytes chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:37:43 UTC Syncing #12399769 0x8421…6595     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  178 Qed Ancient:#12145764 LI:#12399947   28/50 peers     74 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:37:48 UTC Syncing #12399769 0x8421…6595     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  178 Qed Ancient:#12145764 LI:#12399947   30/50 peers     74 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:38:30 UTC Syncing #12399771 0xc3c2…89df     0.05 blk/s    7.6 tx/s    0.7 Mgas/s      0+  177 Qed Ancient:#12147150 LI:#12399948   31/50 peers      2 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:38:30 UTC Syncing #12399771 0xc3c2…89df     0.05 blk/s    7.6 tx/s    0.7 Mgas/s      0+  178 Qed Ancient:#12147150 LI:#12399948   31/50 peers     35 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:38:40 UTC Syncing #12399772 0x6e4f…eee6     0.10 blk/s   18.2 tx/s    1.4 Mgas/s      0+  177 Qed Ancient:#12147437 LI:#12399948   31/50 peers      9 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:38:40 UTC Syncing #12399772 0x6e4f…eee6     0.10 blk/s   18.2 tx/s    1.4 Mgas/s      0+  176 Qed Ancient:#12147437 LI:#12399948   31/50 peers     74 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:42:33 UTC Syncing #12399773 0xfc9c…c7e3     0.00 blk/s    1.1 tx/s    0.1 Mgas/s      0+  187 Qed Ancient:#12152025 LI:#12399959   32/50 peers    146 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
