timestamp,dir_read_c,dir_reads,tcp_conn,tcp_sends,dir_writes,dir_write_c,tcp_recvs
1632081600,0,0,183,12288,34394112,8397,2974720
1632081615,0,0,188,12288,34394112,8397,3641344
1632081630,0,0,188,12288,34394112,8397,3641344
1632081645,0,0,183,12288,34394112,8397,2581504
1632081660,0,0,183,12288,34394112,8397,2581504
1632081675,0,0,173,12288,34394112,8397,1761280
1632081690,0,0,173,12288,34394112,8397,1761280
1632081705,0,0,190,12288,34394112,8397,4078592
1632081720,0,0,190,12288,34394112,8397,4078592
1632081735,0,0,187,12288,34394112,8397,3757056
1632081750,0,0,187,12288,34394112,8397,3757056
1632081765,0,0,190,1410048,51503104,9989,2905088
1632081780,0,0,190,1410048,51503104,9989,2905088
1632081795,0,0,183,12288,51503104,9989,2434048
1632081810,0,0,183,12288,51503104,9989,2434048
1632081825,0,0,182,12288,51503104,9989,4413440
1632081840,0,0,182,12288,51503104,9989,4413440
1632081855,0,0,181,12288,51503104,9989,4225024
1632081870,0,0,181,12288,51503104,9989,4225024
1632081885,0,0,199,12288,51503104,9989,2331648
1632081900,0,0,199,12288,51503104,9989,2331648
1632081915,0,0,178,12288,51503104,9989,6158336
1632081930,0,0,178,12288,51503104,9989,6158336
1632081945,0,0,180,12288,51503104,9989,4746240
1632081960,0,0,180,12288,51503104,9989,4746240
1632081975,0,0,190,12288,51503104,9989,4189184
1632081990,0,0,190,12288,51503104,9989,4189184
1632082005,0,0,174,12288,43393024,10382,3798016
1632082020,0,0,174,12288,43393024,10382,3798016
1632082035,0,0,191,12288,43393024,10382,4466688
1632082050,0,0,191,12288,43393024,10382,4466688
1632082065,0,0,183,12288,43393024,10382,1690624
1632082080,0,0,183,12288,43393024,10382,1690624
1632082095,0,0,176,12288,43393024,10382,1475584
1632082110,0,0,176,12288,43393024,10382,1475584
1632082125,0,0,203,12288,80019456,15176,2013184
1632082140,0,0,203,12288,80019456,15176,2013184
1632082155,0,0,181,12288,52764672,12882,5393408
1632082170,0,0,181,12288,52764672,12882,5393408
1632082185,0,0,184,12288,52764672,12882,3404800
1632082200,0,0,184,12288,52764672,12882,3404800
1632082215,0,0,199,12288,52764672,12882,4823040
1632082230,0,0,199,12288,52764672,12882,4823040
1632082245,0,0,196,12288,42524672,10382,7976960
1632082260,0,0,196,12288,42524672,10382,7976960
1632082275,0,0,180,12288,42524672,10382,4941824
1632082290,0,0,180,12288,42524672,10382,4941824
1632082305,0,0,188,12288,42524672,10382,3727360
1632082320,0,0,188,12288,42524672,10382,3727360
1632082335,0,0,189,12288,28528640,6965,2146304
1632082350,0,0,189,12288,28528640,6965,2146304
1632082365,0,0,180,12288,28528640,6965,1799168
1632082380,0,0,180,12288,28528640,6965,1799168
1632082395,0,0,176,12288,35831808,8748,3785728
1632082410,0,0,176,12288,35831808,8748,3785728
1632082425,0,0,176,1439744,35831808,8748,1784832
1632082440,0,0,176,1439744,35831808,8748,1784832
1632082455,0,0,189,1543168,35831808,8748,2160640
1632082470,0,0,189,1543168,35831808,8748,2160640
1632082485,0,0,174,12288,37683200,9200,8924160
1632082500,0,0,174,12288,37683200,9200,8924160
1632082515,0,0,184,11264,37683200,9200,5479424
1632082530,0,0,184,11264,37683200,9200,5479424
1632082545,0,0,197,12288,118702080,28980,2592768
1632082560,0,0,197,12288,118702080,28980,2592768
1632082575,0,0,188,1520640,118702080,28980,2680832
1632082590,0,0,188,1520640,118702080,28980,2680832
1632082605,0,0,186,1311744,121012224,29544,1446912
1632082620,0,0,186,1311744,121012224,29544,1446912
1632082635,0,0,199,12288,97198080,23633,8306688
1632082650,0,0,199,12288,97198080,23633,8306688
1632082665,0,0,181,12288,94232576,22806,4940800
1632082680,0,0,181,12288,94232576,22806,4940800
1632082695,0,0,183,12288,94232576,22806,2967552
1632082710,0,0,183,12288,94232576,22806,2967552
1632082725,0,0,183,1404928,93573120,22651,1446912
1632082740,0,0,183,1404928,93573120,22651,1446912
1632082755,0,0,188,6144,93573120,22651,1406976
1632082770,0,0,179,12288,90607616,22048,6046720
1632082785,0,0,191,6144,90607616,22048,3088384
1632082800,0,0,181,12288,90607616,22048,3719168
1632082815,0,0,189,6144,90923008,22161,3524608
1632082830,0,0,193,12288,90923008,22161,3784704
1632082845,0,0,189,2738176,90923008,22161,2420736
1632082860,0,0,192,12288,10588160,2585,4772864
1632082875,0,0,176,2950144,10588160,2585,3036160
1632082890,0,0,175,5828608,10588160,2585,1999872
1632082905,0,0,183,8617984,14848000,3625,4065280
1632082920,0,0,195,4336640,14848000,3625,3260416
1632082935,0,0,192,3560448,14848000,3625,2829312
1632082950,0,0,180,12288,14848000,3625,6538240
1632082965,0,0,181,1464320,14315520,3495,6705152
1632082980,0,0,191,3978240,14315520,3495,3976192
1632082995,0,0,173,5693440,14315520,3495,4067328
1632083010,0,0,179,12288,12660736,3091,2078720
1632083025,0,0,181,6144,12660736,3091,3815424
1632083040,0,0,189,2697216,12660736,3091,5392384
1632083055,0,0,197,5702656,10502144,2564,2757632
1632083070,0,0,196,12288,10502144,2564,7187456
1632083085,0,0,174,6144,10502144,2564,4301824
1632083100,0,0,177,3932160,10502144,2564,3823616
1632083115,0,0,173,6144,14159872,3457,5504000
1632083130,0,0,179,5382144,14159872,3457,3682304
1632083145,0,0,181,1434624,14159872,3457,1855488
1632083160,0,0,176,12288,14159872,3457,2058240
1632083175,0,0,173,2725888,13574144,3314,6546432
1632083190,0,0,188,2127872,13574144,3314,4214784
1632083205,0,0,186,4113408,13574144,3314,6131712
